ticker,ATIVO,DIV_BRUTA,DISPONIBILIDADES,DIV_LIQUIDA,ATIVO_CIRCULANTE,PATRIM_LIQ,RECEITA_LIQUIDA,EBIT,LUCRO_LIQUIDO,NRO_ACOES,CRES_REC_(5A),ROIC,LIQUIDEZ_CORR,SETOR,SUBSETOR,DEPOSITOS,CART_DE_CREDITO,RESULT_INT_FINANC,REC_SERVICOS
SULT3,1522230000.0,4021000.0,1708000.0,2313000.0,87488000.0,161477000.0,116280000.0,-9094000.0,-83696000.0,12600000.0,0.046,-0.006,0.21,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_PESADA,,,,
SULT4,1522230000.0,4021000.0,1708000.0,2313000.0,87488000.0,161477000.0,116280000.0,-9094000.0,-83696000.0,12600000.0,0.046,-0.006,0.21,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_PESADA,,,,
SUZA4,108575000000.0,80628600000.0,12559200000.0,68069400000.0,21962200000.0,748885000.0,28628300000.0,4929660000.0,-4843980000.0,172927000.0,0.305,0.052000000000000005,1.58,HOLDINGS_DIVERSIFICADAS,HOLDINGS_DIVERSIFICADAS,,,,
SUZB3,105440000000.0,78489600000.0,9574540000.0,68915100000.0,18523900000.0,1334700000.0,29496300000.0,6232040000.0,-15470600000.0,1361260000.0,0.344,0.067,1.49,MADEIRA_E_PAPEL,PAPEL_E_CELULOSE,,,,
SUZB5,105440000000.0,78489600000.0,9574540000.0,68915100000.0,18523900000.0,1334700000.0,29496300000.0,6232040000.0,-15470600000.0,1361260000.0,0.344,0.067,1.49,MADEIRA_E_PAPEL,PAPEL_E_CELULOSE,,,,
SUZB6,105440000000.0,78489600000.0,9574540000.0,68915100000.0,18523900000.0,1334700000.0,29496300000.0,6232040000.0,-15470600000.0,1361260000.0,0.344,0.067,1.49,MADEIRA_E_PAPEL,PAPEL_E_CELULOSE,,,,
SZPQ4,2024280000.0,201926000.0,19218000.0,182708000.0,865063000.0,684467000.0,1760340000.0,-74125000.0,-191633000.0,226695000.0,-0.11699999999999999,-0.038,2.97,QUIMICOS_,PETROQUIMICOS,,,,
TAEE11,13535500000.0,6834540000.0,1524260000.0,5310280000.0,3841300000.0,5412410000.0,2471280000.0,1420410000.0,1337120000.0,1033500000.0,0.145,0.11900000000000001,3.23,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
TAEE3,13535500000.0,6834540000.0,1524260000.0,5310280000.0,3841300000.0,5412410000.0,2471280000.0,1420410000.0,1337120000.0,1033500000.0,0.145,0.11900000000000001,3.23,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
TAEE4,13535500000.0,6834540000.0,1524260000.0,5310280000.0,3841300000.0,5412410000.0,2471280000.0,1420410000.0,1337120000.0,1033500000.0,0.145,0.11900000000000001,3.23,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
TAMM3,15743600000.0,8860430000.0,1897600000.0,6962830000.0,4925690000.0,2174310000.0,13180500000.0,845148000.0,-363003000.0,156548000.0,0.098,0.064,0.95,TRANSPORTE,TRANSPORTE_AEREO,,,,
TAMM4,15743600000.0,8860430000.0,1897600000.0,6962830000.0,4925690000.0,2174310000.0,13180500000.0,845148000.0,-363003000.0,156548000.0,0.098,0.064,0.95,TRANSPORTE,TRANSPORTE_AEREO,,,,
TANC4,15743600000.0,8860430000.0,1897600000.0,6962830000.0,4925690000.0,2174310000.0,13180500000.0,845148000.0,-363003000.0,156548000.0,0.098,0.064,0.95,TRANSPORTE,TRANSPORTE_AEREO,,,,
TARP11,678466000.0,0.0,2063000.0,-2063000.0,85037000.0,678212000.0,6394000.0,841000.0,202693000.0,9228690.0,-0.7140000000000001,,,HOLDINGS_DIVERSIFICADAS,HOLDINGS_DIVERSIFICADAS,,,,
TASA3,1228240000.0,910454000.0,107967000.0,802487000.0,817598000.0,-367967000.0,1236640000.0,163726000.0,-122338000.0,89055000.0,0.083,0.16,1.17,MAQUINAS_E_EQUIPAMENTOS,ARMAS_E_MUNICOES,,,,
TASA4,1228240000.0,910454000.0,107967000.0,802487000.0,817598000.0,-367967000.0,1236640000.0,163726000.0,-122338000.0,89055000.0,0.083,0.16,1.17,MAQUINAS_E_EQUIPAMENTOS,ARMAS_E_MUNICOES,,,,
TBLE5,32193700000.0,16989100000.0,4799480000.0,12189600000.0,8108920000.0,7430560000.0,10570300000.0,4032760000.0,2636890000.0,815928000.0,0.141,0.151,1.47,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
TBLE6,32193700000.0,16989100000.0,4799480000.0,12189600000.0,8108920000.0,7430560000.0,10570300000.0,4032760000.0,2636890000.0,815928000.0,0.141,0.151,1.47,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
TCNO3,234077000.0,33469000.0,7000.0,33462000.0,39758000.0,1058000.0,0.0,-5813000.0,693000.0,6620000.0,-0.6629999999999999,-0.033,0.29,CONSTRUCAO_E_ENGENHARIA,ENGENHARIA_CONSULTIVA,,,,
TCNO4,234077000.0,33469000.0,7000.0,33462000.0,39758000.0,1058000.0,0.0,-5813000.0,693000.0,6620000.0,-0.6629999999999999,-0.033,0.29,CONSTRUCAO_E_ENGENHARIA,ENGENHARIA_CONSULTIVA,,,,
TCOC3,3867570000.0,108930000.0,894494000.0,-785564000.0,2205860000.0,2812920000.0,2271440000.0,349022000.0,339146000.0,130068000.0,0.16699999999999998,0.14,2.53,,,,,,
TCOC4,3867570000.0,108930000.0,894494000.0,-785564000.0,2205860000.0,2812920000.0,2271440000.0,349022000.0,339146000.0,130068000.0,0.16699999999999998,0.14,2.53,,,,,,
TCSA3,1621860000.0,334982000.0,232584000.0,102398000.0,565037000.0,841805000.0,284110000.0,-93145000.0,-210441000.0,73619000.0,-0.21,-0.067,1.78,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_CIVIL,,,,
TCSL4,39831200000.0,3088450000.0,3329710000.0,-241258000.0,8359060000.0,22847800000.0,17126000000.0,3328920000.0,1902120000.0,2421030000.0,0.023,0.09699999999999999,1.34,TELECOMUNICACOES,TELECOMUNICACOES,,,,
TDBH3,871466000.0,151163000.0,29469000.0,121694000.0,192344000.0,554115000.0,780335000.0,81020000.0,-37944000.0,1071150000000.0,0.35700000000000004,0.105,0.63,,,,,,
TDBH4,871466000.0,151163000.0,29469000.0,121694000.0,192344000.0,554115000.0,780335000.0,81020000.0,-37944000.0,1071150000000.0,0.35700000000000004,0.105,0.63,,,,,,
TECN3,651380000.0,157046000.0,68133000.0,88913000.0,352792000.0,309598000.0,237462000.0,-18657000.0,-110902000.0,78506000.0,-0.098,-0.035,2.21,TECIDOS_VESTUARIO_E_CALCADOS,ACESSORIOS,,,,
TEFC11,280524000000.0,135066000000.0,11755000000.0,123311000000.0,45376000000.0,45856000000.0,151883000000.0,35748000000.0,21425000000.0,1946000.0,0.129,0.149,0.61,TELEFONIA_FIXA,TELEFONIA_FIXA,,,,
TEKA3,962423000.0,468985000.0,121000.0,468864000.0,41498000.0,-1626750000.0,130193000.0,-6418000.0,-118529000.0,503000.0,-0.03,-0.011000000000000001,0.02,TECIDOS_VESTUARIO_E_CALCADOS,FIOS_E_TECIDOS,,,,
TEKA4,962423000.0,468985000.0,121000.0,468864000.0,41498000.0,-1626750000.0,130193000.0,-6418000.0,-118529000.0,503000.0,-0.03,-0.011000000000000001,0.02,TECIDOS_VESTUARIO_E_CALCADOS,FIOS_E_TECIDOS,,,,
TELB3,4272810000.0,288072000.0,867654000.0,-579582000.0,1233220000.0,1606030000.0,246556000.0,-270724000.0,-63282000.0,67865000.0,0.276,-0.081,4.88,TELECOMUNICACOES,TELECOMUNICACOES,,,,
TELB4,4272810000.0,288072000.0,867654000.0,-579582000.0,1233220000.0,1606030000.0,246556000.0,-270724000.0,-63282000.0,67865000.0,0.276,-0.081,4.88,TELECOMUNICACOES,TELECOMUNICACOES,,,,
TEMP3,331768000.0,31557000.0,97515000.0,-65958000.0,230481000.0,135736000.0,681735000.0,63033000.0,57381000.0,160981000.0,-0.131,0.345,1.41,SAUDE,SERVICOS_MEDICO_-_HOSPITALARES_ANALISES_E_DIAGNOSTICOS,,,,
TEND3,4138310000.0,1347210000.0,1534880000.0,-187670000.0,3086930000.0,1407140000.0,1993620000.0,317892000.0,198700000.0,104344000.0,0.21600000000000003,0.125,2.94,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_CIVIL,,,,
TENE5,17311000.0,481000.0,0.0,481000.0,0.0,-69256000.0,0.0,-1158000.0,-4596000.0,121000.0,,,,TECIDOS_VESTUARIO_E_CALCADOS,FIOS_E_TECIDOS,,,,
TENE7,17311000.0,481000.0,0.0,481000.0,0.0,-69256000.0,0.0,-1158000.0,-4596000.0,121000.0,,,,TECIDOS_VESTUARIO_E_CALCADOS,FIOS_E_TECIDOS,,,,
TERI3,13055000000.0,5211000000.0,486000000.0,4725000000.0,4190000000.0,3641000000.0,9822000000.0,146000000.0,-119000000.0,16354000.0,0.079,0.012,1.03,ALIMENTOS,ALIMENTOS_DIVERSOS,,,,
TESA3,2440040000.0,962699000.0,5945000.0,956754000.0,676777000.0,769534000.0,1174510000.0,173829000.0,-124325000.0,21657000.0,0.098,0.081,0.96,AGROPECUARIA,AGRICULTURA,,,,
TFCO4,284106000.0,30225000.0,86768000.0,-56543000.0,194397000.0,20094000.0,0.0,0.0,0.0,949244000.0,,,1.07,TECIDOS_VESTUARIO_E_CALCADOS,VESTUARIO,,,,
TGMA3,1043910000.0,324738000.0,286503000.0,38235000.0,509845000.0,590088000.0,1128940000.0,132527000.0,149760000.0,66003000.0,0.057999999999999996,0.179,1.9,TRANSPORTE,TRANSPORTE_RODOVIARIO,,,,
TIET11,8480390000.0,4738170000.0,2054350000.0,2683820000.0,2490440000.0,1556800000.0,2022630000.0,818802000.0,396945000.0,1995530000.0,0.091,0.159,0.96,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
TIET3,8480390000.0,4738170000.0,2054350000.0,2683820000.0,2490440000.0,1556800000.0,2022630000.0,818802000.0,396945000.0,1995530000.0,0.091,0.159,0.96,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
TIET4,8480390000.0,4738170000.0,2054350000.0,2683820000.0,2490440000.0,1556800000.0,2022630000.0,818802000.0,396945000.0,1995530000.0,0.091,0.159,0.96,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
TIMP3,39831200000.0,3088450000.0,3329710000.0,-241258000.0,8359060000.0,22847800000.0,17126000000.0,3328920000.0,1902120000.0,2421030000.0,0.023,0.09699999999999999,1.34,TELECOMUNICACOES,TELECOMUNICACOES,,,,
TIMS3,39333700000.0,3088450000.0,3300620000.0,-212175000.0,8309420000.0,22501200000.0,17126000000.0,3350380000.0,2052940000.0,2420800000.0,,0.099,1.33,TELECOMUNICACOES,TELECOMUNICACOES,,,,
TKNO4,218232000.0,3100000.0,30420000.0,-27320000.0,112537000.0,182419000.0,154920000.0,9363000.0,11346000.0,2948000.0,0.10400000000000001,0.053,4.37,SIDERURGIA_E_METALURGIA,ARTEFATOS_DE_FERRO_E_ACO,,,,
TLCP3,868040000.0,317012000.0,17003000.0,300009000.0,257318000.0,262979000.0,561828000.0,-17393000.0,-92149000.0,9644000.0,0.091,-0.025,0.61,,,,,,
TLCP4,868040000.0,317012000.0,17003000.0,300009000.0,257318000.0,262979000.0,561828000.0,-17393000.0,-92149000.0,9644000.0,0.091,-0.025,0.61,,,,,,
TMAR3,79800900000.0,28293800000.0,13067600000.0,15226100000.0,25319800000.0,20448500000.0,27907000000.0,3584370000.0,128545000.0,344497000.0,0.14800000000000002,0.057999999999999996,1.62,TELEFONIA_FIXA,TELEFONIA_FIXA,,,,
TMAR5,79800900000.0,28293800000.0,13067600000.0,15226100000.0,25319800000.0,20448500000.0,27907000000.0,3584370000.0,128545000.0,344497000.0,0.14800000000000002,0.057999999999999996,1.62,TELEFONIA_FIXA,TELEFONIA_FIXA,,,,
