ticker,ATIVO,DIV_BRUTA,DISPONIBILIDADES,DIV_LIQUIDA,ATIVO_CIRCULANTE,PATRIM_LIQ,RECEITA_LIQUIDA,EBIT,LUCRO_LIQUIDO,NRO_ACOES,CRES_REC_(5A),ROIC,SETOR,SUBSETOR,DEPOSITOS,CART_DE_CREDITO,RESULT_INT_FINANC,REC_SERVICOS
AESL3,12134700000.0,5898680000.0,1796380000.0,4102310000.0,3837050000.0,3877800000.0,7827520000.0,1052110000.0,638166000.0,1125430.0,0.31,0.109,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
AESL4,12134700000.0,5898680000.0,1796380000.0,4102310000.0,3837050000.0,3877800000.0,7827520000.0,1052110000.0,638166000.0,1125430.0,0.31,0.109,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
AFLT3,236705000.0,883000.0,64042000.0,-63159000.0,87765000.0,225320000.0,38456000.0,23440000.0,23763000.0,63085000.0,0.107,0.136,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
AFLU3,50489000.0,0.0,10774000.0,-10774000.0,14159000.0,44270000.0,32511000.0,11372000.0,10594000.0,18818000.0,0.086,0.312,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
AFLU5,50489000.0,0.0,10774000.0,-10774000.0,14159000.0,44270000.0,32511000.0,11372000.0,10594000.0,18818000.0,0.086,0.312,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
AGEI3,4980790000.0,1890700000.0,269053000.0,1621640000.0,2845090000.0,1878210000.0,0.0,0.0,0.0,300000000.0,,,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_CIVIL,,,,
AGEN33,585864000.0,1232870000.0,8586000.0,1224290000.0,21659000.0,-1112630000.0,0.0,338972000.0,98514000.0,242706000.0,-0.87,0.877,COMERCIO_E_DISTRIBUICAO,ALIMENTOS,,,,
AGIN3,2241940000.0,565989000.0,129746000.0,436243000.0,1554420000.0,1028210000.0,697139000.0,115929000.0,149671000.0,239297000.0,0.442,0.055999999999999994,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_CIVIL,,,,
AGRO3,2044370000.0,666476000.0,171045000.0,495431000.0,642464000.0,1121570000.0,705206000.0,163203000.0,119554000.0,62104300.0,0.545,0.09300000000000001,EXPLORACAO_DE_IMOVEIS,EXPLORACAO_DE_IMOVEIS,,,,
AHEB3,245933000.0,0.0,11530000.0,-11530000.0,27676000.0,9165000.0,96237000.0,18565000.0,17044000.0,8544000.0,-0.18100000000000002,0.083,EXPLORACAO_DE_IMOVEIS,EXPLORACAO_DE_IMOVEIS,,,,
AHEB5,245933000.0,0.0,11530000.0,-11530000.0,27676000.0,9165000.0,96237000.0,18565000.0,17044000.0,8544000.0,-0.18100000000000002,0.083,EXPLORACAO_DE_IMOVEIS,EXPLORACAO_DE_IMOVEIS,,,,
AHEB6,245933000.0,0.0,11530000.0,-11530000.0,27676000.0,9165000.0,96237000.0,18565000.0,17044000.0,8544000.0,-0.18100000000000002,0.083,EXPLORACAO_DE_IMOVEIS,EXPLORACAO_DE_IMOVEIS,,,,
ALBA3,482874000.0,10198000.0,98390000.0,-88192000.0,234008000.0,354860000.0,729278000.0,69267000.0,70162000.0,0.0,0.147,0.204,,,,,,
ALLL11,41917600000.0,17875400000.0,5472460000.0,12403000000.0,7272320000.0,8490350000.0,6975680000.0,1998320000.0,698808000.0,1853270000.0,0.136,0.055999999999999994,TRANSPORTE,TRANSPORTE_FERROVIARIO,,,,
ALLL3,41917600000.0,17875400000.0,5472460000.0,12403000000.0,7272320000.0,8490350000.0,6975680000.0,1998320000.0,698808000.0,1853270000.0,0.136,0.055999999999999994,TRANSPORTE,TRANSPORTE_FERROVIARIO,,,,
ALLL4,41917600000.0,17875400000.0,5472460000.0,12403000000.0,7272320000.0,8490350000.0,6975680000.0,1998320000.0,698808000.0,1853270000.0,0.136,0.055999999999999994,TRANSPORTE,TRANSPORTE_FERROVIARIO,,,,
ALPA3,6651680000.0,2499480000.0,2640980000.0,-141498000.0,4363590000.0,2852200000.0,3206070000.0,483827000.0,265853000.0,588062000.0,-0.044000000000000004,0.129,TECIDOS_VESTUARIO_E_CALCADOS,CALCADOS,,,,
ALPA4,6651680000.0,2499480000.0,2640980000.0,-141498000.0,4363590000.0,2852200000.0,3206070000.0,483827000.0,265853000.0,588062000.0,-0.044000000000000004,0.129,TECIDOS_VESTUARIO_E_CALCADOS,CALCADOS,,,,
ALPK3,3142220000.0,1650640000.0,287927000.0,1362710000.0,446817000.0,766581000.0,0.0,0.0,0.0,193771000.0,,,SERVICOS,SERVICOS_DIVERSOS,,,,
ALSC3,4738200000.0,0.0,541181000.0,-541181000.0,742653000.0,2593960000.0,531336000.0,294627000.0,147628000.0,205198000.0,0.023,0.07,EXPLORACAO_DE_IMOVEIS,EXPLORACAO_DE_IMOVEIS,,,,
